Trans. Date,Post Date,Description,Amount,Category
9/14/20,9/14/20,DIRECTPAY FULL BALANCESEE DETAILS OF YOUR NEXT DIRECTPAY BELOW,-59.73,Payments and Credits
9/15/20,9/15/20,AMAZON.COM*MU62739E0 AMZN.COM/BILLWA1PW5G2GDIG0,17.11,Merchandise
9/15/20,9/15/20,AMZN MKTP US*M474A6472 AMZN.COM/BILLWA4JAYJ642DZP,14.15,Merchandise
9/16/20,9/16/20,GONZAGA U - CASHNET 509-3136376 WA,2.18,Education
9/16/20,9/16/20,PAYPAL *RIOTGAMESIN 402-935-7733 CA,10.89,Travel/ Entertainment
9/16/20,9/16/20,SAFEWAY #3255 SPOKANE WAAPPLE PAY ENDING IN 1786,19.97,Supermarkets
9/17/20,9/17/20,INTERNET PAYMENT - THANK YOU,-944.43,Payments and Credits
9/17/20,9/20/20,MASTERCLASS 8559818208 CAAPPLE PAY ENDING IN 0867,1,Merchandise
9/17/20,9/20/20,PAYPAL *RIOTGAMESIN 402-935-7733 CA,5.45,Travel/ Entertainment
9/18/20,9/20/20,ESMERALDA GC SPOKANE WA,12,Travel/ Entertainment
9/20/20,9/20/20,AMZN MKTP US*M463311T2 AMZN.COM/BILLWAELFVAOXRO78,126.31,Merchandise
9/20/20,9/20/20,DOORDASH*MCDONALDS 6506819470 CAAPPLE PAY ENDING IN 0296,18.36,Restaurants
9/21/20,9/21/20,CHIPOTLE 1544 SPOKANE WA,11.33,Restaurants
9/21/20,9/21/20,ESMERALDA GC SPOKANE WA,20,Travel/ Entertainment
9/22/20,9/22/20,PP*DUTCHBRO109 SAN JOSE CA,12.42,Restaurants
9/24/20,9/24/20,SAFEWAY #3255 SPOKANE WAAPPLE PAY ENDING IN 1786,5.86,Supermarkets
9/24/20,9/25/20,AMZN MKTP US AMZN.COM/BILLWA2Q2XGE286WC,-119.78,Payments and Credits
9/28/20,9/28/20,ESMERALDA GC SPOKANE WAAPPLE PAY ENDING IN 0296,20,Travel/ Entertainment
10/4/20,10/4/20,SAFEWAY #3255 SPOKANE WAAPPLE PAY ENDING IN 1786,28.45,Supermarkets
10/5/20,10/5/20,ESMERALDA GC SPOKANE WAAPPLE PAY ENDING IN 0296,20,Travel/ Entertainment
10/12/20,10/12/20,AMAZON.COM*MK7II9IX1 AMZN.COM/BILLWA6YRUKKAOW0C,6.52,Merchandise
10/12/20,10/12/20,ESMERALDA GC SPOKANE WA,20,Travel/ Entertainment
10/14/20,10/14/20,DIRECTPAY FULL BALANCESEE DETAILS OF YOUR NEXT DIRECTPAY BELOW,-33.04,Payments and Credits
10/14/20,10/14/20,SAFEWAY #3255 SPOKANE WAAPPLE PAY ENDING IN 1786,5,Supermarkets
10/15/20,10/15/20,PAYPAL *DOLLARSHAVE DOL 402-935-7733 CA,18.62,Merchandise
10/20/20,10/20/20,PAYPAL *PATAGONIA 402-935-7733 CA,25.74,Merchandise
10/26/20,10/26/20,PP*DUTCHBRO109 SAN JOSE CA,6.4,Restaurants
10/31/20,10/31/20,AMAZON.COM*287XU6ZU2 AMZN.COM/BILLWA2M8UCHJQRNW,20.24,Merchandise
10/31/20,10/31/20,PAYPAL *RIOTGAMESIN 888-221-1161 CA,5.45,Travel/ Entertainment
11/8/20,11/8/20,SAFEWAY #3255 SPOKANE WAAPPLE PAY ENDING IN 1786,52.78,Supermarkets
11/9/20,11/9/20,AMAZON.COM*289CP7UQ0 AMZN.COM/BILLWA28TVPRS751Z,13.34,Merchandise
11/14/20,11/14/20,DIRECTPAY FULL BALANCESEE DETAILS OF YOUR NEXT DIRECTPAY BELOW,-211.54,Payments and Credits
11/16/20,11/16/20,DOORDASH*MCDONALDS 6506819470 CAAPPLE PAY ENDING IN 0296,23.63,Restaurants
11/17/20,11/17/20,AMAZON.COM*2053Q5TE2 AMZN.COM/BILLWA23QSLL567KF,10.33,Merchandise
11/17/20,11/17/20,TRV* PATAGONIA WORN WE 3036539611 CA,74.07,Merchandise
